Frame (60^-1s),Volume (cm^-3)
900,1225.264
901,1223.958
902,1218.481
903,1216.002
904,1213.17
905,1210.42
906,1239.074
907,1232.936
908,1195.056
909,1190.18
910,1237.057
911,1227.286
912,1246.339
913,1241.659
914,1199.84
915,1221.524
916,1175.989
917,1159.665
918,1169.207
919,1216.884
920,1211.523
921,1127.954
922,1133.127
923,1106.79
924,1136.433
925,1160.557
926,1121.876
927,1138.506
928,1138.751
929,1140.218
930,1143.698
931,1130.682
932,1132.357
933,1132.877
934,1130.088
935,1101.436
936,1098.07
937,1129
938,1127.564
939,1128.541
940,1130.75
941,1127.908
942,1121.301
943,1117.663
944,1112.298
945,1111.789
946,1106.505
947,1075.219
948,1098.529
949,1093.598
950,1117.055
951,1112.97
952,1134.68
953,1101.908
954,1100.279
955,1122.238
956,1139.061
957,1131.099
958,1159.712
959,1154.5
960,1149.284
961,1144.68
962,1133.762
963,1178.025
964,1168.439
965,1161.141
966,1156.142
967,1153.771
968,1151.225
969,1150.576
970,1114.305
971,1110.535
972,1101.1
973,1125.629
974,1120.845
975,1115.243
976,1109.039
977,1075.081
978,1074.404
979,1101.675
980,1100.209
981,1101.09
982,1103.922
983,1098.745
984,1097.955
985,1097.982
986,1097.574
987,1096.898
988,1068.205
989,1067.971
990,1088.975
991,1087.21
992,1081.068
993,1078.95
994,1048.438
995,1020.959
996,1046.427
997,1046.697
998,1046.396
999,1016.061
1000,1018.215
1001,1050.487
1002,1022.114
1003,1048.787
1004,1043.034
1005,1037.409
1006,1027.754
1007,1054.248
1008,995.4001
1009,1049.203
1010,1049.102
1011,1018.354
1012,1014.758
1013,1009.856
1014,1018.73
1015,1015.65
1016,1013.008
1017,1010.89
1018,1010.563
1019,1009.499
1020,1069.03
1021,1067.355
1022,1064.466
1023,1063.649
1024,983.4792
1025,981.8856
1026,1006.871
1027,1008.636
1028,953.6764
1029,978.3023
1030,979.8858
1031,979.0761
1032,976.7262
1033,974.8067
1034,974.8292
1035,972.3159
1036,968.9798
1037,967.4142
1038,965.8283
1039,963.851
1040,964.2795
1041,911.255
1042,914.4443
1043,995.6971
1044,994.2268
1045,908.0749
1046,956.5509
1047,948.4951
1048,946.97
1049,946.9488
1050,921.4576
1051,907.537
1052,935.5876
1053,926.1061
1054,883.7532
1055,883.7714
1056,905.1481
1057,899.607
1058,894.9446
1059,915.6731
1060,896.4521
1061,894.2
1062,855.0609
1063,880.9221
1064,909.8825
1065,901.002
1066,896.9927
1067,922.7746
1068,916.9794
1069,915.0415
1070,910.1823
1071,907.6621
1072,907.8713
1073,881.8907
1074,907.4909
1075,906.7849
1076,905.2341
1077,882.3401
1078,857.447
1079,854.3853
1080,854.0976
1081,855.1199
1082,829.2033
1083,854.3017
1084,851.719
1085,876.4175
1086,874.5885
1087,873.1487
1088,868.5415
1089,843.2154
1090,822.1113
1091,820.8967
1092,820.3711
1093,821.046
1094,819.7884
1095,820.3327
1096,823.1369
1097,824.0061
1098,827.2593
1099,853.2042
1100,877.549
1101,800.8391
1102,797.6544
1103,795.1884
1104,773.9145
1105,775.7898
1106,803.2062
1107,827.044
1108,827.8191
1109,817.3528
1110,817.8764
1111,832.8633
1112,807.8777
1113,805.1961
1114,799.7818
1115,792.696
1116,788.6949
1117,812.896
1118,814.0988
1119,806.1274
1120,820.0206
1121,792.897
1122,857.9735
1123,854.2291
1124,790.8119
1125,788.9117
1126,798.1613
1127,774.6851
1128,776.7495
1129,810.4066
1130,811.7701
1131,814.356
1132,812.9724
1133,753.9872
1134,762.0672
1135,737.5288
1136,740.1903
1137,745.9137
1138,750.2195
1139,755.0414
1140,824.1302
1141,774.4547
1142,744.8807
1143,743.3484
1144,743.6463
1145,744.5062
1146,768.2568
1147,765.2056
1148,764.0936
1149,765.4314
1150,770.713
1151,751.2938
1152,781.941
1153,731.7109
1154,720.6163
